content_id,question_count,paramedic_pilot_count,question_ids,review_orders,topics,topic_groups
1.1.1.1.1,2,0,EMS2026-1-1-1-1-1-05|EMS2026-1-1-1-1-1-07,13|206,Provision of direct patient care,Medical Oversight
1.1.1.1.2,1,0,EMS2026-1-1-1-1-2-05,247,Physician directed care by radio or phone,MEDICAL OVERSIGHT
1.1.1.1.3,1,0,EMS2026-1-1-1-1-3-04,259,Physician directed care in person,MEDICAL OVERSIGHT
1.1.1.1.4,1,0,EMS2026-1-1-1-1-4-04,269,Telemedicine,MEDICAL OVERSIGHT
1.1.1.2.1,1,0,EMS2026-1-1-1-2-1-06,224,Development of medical protocols,
1.1.1.2.2,2,0,EMS2026-1-1-1-2-2-02|EMS2026-1-1-1-2-2-01,47|75,Quality improvement programs,Medical Oversight
1.1.1.2.3,2,0,EMS2026-1-1-1-2-3-06|EMS2026-1-1-1-2-3-01,188|201,Determination of medical necessity in the field,
1.1.1.3,2,0,EMS2026-1-1-1-3-05|EMS2026-1-1-1-3-04,238|239,Assessment of personnel competence and fitness for duty (initial and continued),
1.1.1.4,1,0,EMS2026-1-1-1-4-07,267,Medical director qualifications,MEDICAL OVERSIGHT
1.1.2.1,2,0,EMS2026-1-1-2-1-02|EMS2026-1-1-2-1-06,131|137,Definition of a patient,
1.1.2.2,1,0,EMS2026-1-1-2-2-09,229,Mandatory reporting,
1.1.2.3,2,0,EMS2026-1-1-2-3-03|EMS2026-1-1-2-3-06,213|226,Determination and/or pronouncement of death,
1.1.2.4.1,1,0,EMS2026-1-1-2-4-1-05,279,Informed consent and informed refusal,MEDICAL OVERSIGHT
1.1.2.4.2,1,0,EMS2026-1-1-2-4-2-03,136,Difference between capacity and competence,
1.1.2.5,1,0,EMS2026-1-1-2-5-03,16,Patient abandonment,Medical Oversight
1.1.2.6,1,0,EMS2026-1-1-2-6-05,257,Due process,MEDICAL OVERSIGHT
1.1.2.7,1,0,EMS2026-1-1-2-7-06,88,Risk management,
1.2.1,1,0,EMS2026-1-2-1-07,273,Public Safety Answering Points,EMS SYSTEMS
1.2.2.1,1,0,EMS2026-1-2-2-1-05,283,Pre-arrival instructions,EMS SYSTEMS
1.2.2.2,1,0,EMS2026-1-2-2-2-05,278,"Prioritization of response (e.g., determining local needs based on local resources)",EMS SYSTEMS
1.2.2.3,1,0,EMS2026-1-2-2-3-05,250,Tiered response,EMS SYSTEMS
1.2.2.4,1,0,EMS2026-1-2-2-4-04,202,Mutual aid response,
1.2.3,1,0,EMS2026-1-2-3-07,275,Use of Lights and Siren,EMS SYSTEMS
1.2.4.1,1,0,EMS2026-1-2-4-1-05,242,Response and transport vehicles,EMS SYSTEMS
1.2.4.2,1,0,EMS2026-1-2-4-2-01,98,"EMS clinician levels (EMR, EMT, AEMT, Paramedic)",
1.2.5.4,1,0,EMS2026-1-2-5-4-05,205,Wilderness EMS,
1.2.5.6,1,0,EMS2026-1-2-5-6-03,133,Inter-facility transport,
1.2.5.8,1,0,EMS2026-1-2-5-8-06,152,Critical care and specialty care transport,
1.2.5.12,1,0,EMS2026-1-2-5-12-01,237,"Airline, cruise ship, and resort medical support",
1.2.7,2,0,EMS2026-1-2-7-02|EMS2026-1-2-7-11,62|127,Regionalization of Care,
1.3.1.1,2,0,EMS2026-1-3-1-1-01|EMS2026-1-3-1-1-07,151|166,State vs. national,
1.3.2.2,1,0,EMS2026-1-3-2-2-01,87,Education delivery models,
1.3.2.6,1,0,EMS2026-1-3-2-6-06,106,Remediation and workforce re-entry,
1.3.4.1.1,3,0,EMS2026-1-3-4-1-1-07|EMS2026-1-3-4-1-1-06|EMS2026-1-3-4-1-1-02,41|46|89,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",EMS Personnel
1.3.4.3,1,0,EMS2026-1-3-4-3-03,177,Disordered sleep and work schedule,
1.3.4.4,1,0,EMS2026-1-3-4-4-04,148,Prevention and intervention for psychologically stressful events,
1.3.6,2,0,EMS2026-1-3-6-08|EMS2026-1-3-6-10,83|203,Recruitment and Retention,
1.3.7,2,0,EMS2026-1-3-7-08|EMS2026-1-3-7-04,79|197,Diverse and Inclusive Workforce,
1.4.3.1,1,0,EMS2026-1-4-3-1-05,295,Working with government and public health agencies,EMS SYSTEM MANAGEMENT
1.4.3.4.4,1,0,EMS2026-1-4-3-4-4-01,94,Health Insurance Portability and Accountability Act (HIPAA),
1.4.4.1,2,0,EMS2026-1-4-4-1-04|EMS2026-1-4-4-1-03,39|191,Specialty hospital designations and patient transport,EMS System Management
1.4.4.2,2,0,EMS2026-1-4-4-2-04|EMS2026-1-4-4-2-03,119|172,Field triage to appropriate destination,
1.4.4.3,2,0,EMS2026-1-4-4-3-04|EMS2026-1-4-4-3-01,7|31,Public access defibrillation (PAD),EMS System Management
1.4.4.4,1,0,EMS2026-1-4-4-4-04,245,Hospital diversion and bypass,EMS SYSTEM MANAGEMENT
1.4.4.5,2,0,EMS2026-1-4-4-5-06|EMS2026-1-4-4-5-01,8|32,"Integration of EMS, community public resources, mental health resources, and social services",EMS System Management
1.4.5,1,0,EMS2026-1-4-5-05,159,System Status Management,
1.4.6.1,2,0,EMS2026-1-4-6-1-02|EMS2026-1-4-6-1-03,43|135,Alternative destinations,EMS System Management
1.4.6.2,1,0,EMS2026-1-4-6-2-03,169,Treatment in place,
1.4.7,1,0,EMS2026-1-4-7-07,266,Navigation to Healthcare Resources,EMS SYSTEM MANAGEMENT
1.5.1,3,0,EMS2026-1-5-1-12|EMS2026-1-5-1-09|EMS2026-1-5-1-10,76|170|195,Public information and interacting with the media,
1.5.2,1,0,EMS2026-1-5-2-10,215,Crisis communication,
1.5.3,3,0,EMS2026-1-5-3-01|EMS2026-1-5-3-05|EMS2026-1-5-3-08,21|161|165,Emergency risk communication,Crisis and Emergency Risk Communication
1.5.4,2,0,EMS2026-1-5-4-10|EMS2026-1-5-4-04,101|219,Communication lifecycle,
2.1.1.1,1,0,EMS2026-2-1-1-1-04,290,General management and field resuscitation,RESUSCITATION
2.1.1.2,2,0,EMS2026-2-1-1-2-06|EMS2026-2-1-1-2-02,181|214,Transport decisions,
2.1.1.3,1,0,EMS2026-2-1-1-3-04,277,Post-resuscitation care,RESUSCITATION
2.1.1.4,1,0,EMS2026-2-1-1-4-04,183,Termination of resuscitation in the field,
2.1.1.5,1,0,EMS2026-2-1-1-5-04,298,Mechanical CPR and real-time feedback devices,RESUSCITATION
2.1.1.6,1,0,EMS2026-2-1-1-6-03,184,Withholding resuscitation (including determination of death and applying advanced directives),
2.1.2.1.2,1,0,EMS2026-2-1-2-1-2-04,280,Oropharyngeal and nasopharyngeal airways,RESUSCITATION
2.1.2.1.3,2,1,EMS2026-2-1-2-1-3-03|EMS2026-2-1-2-1-3-04,6|220,Bag-valve-mask ventilation,RESUSCITATION
2.1.2.2.1,1,0,EMS2026-2-1-2-2-1-03,142,Devices for securing airway,
2.1.2.2.2,1,0,EMS2026-2-1-2-2-2-04,281,Airway management adjuncts,RESUSCITATION
2.1.2.2.3,1,0,EMS2026-2-1-2-2-3-01,116,Direct laryngoscopy,
2.1.2.2.4,1,0,EMS2026-2-1-2-2-4-04,69,Video laryngoscopy,
2.1.2.2.5,1,0,EMS2026-2-1-2-2-5-04,272,Drug assisted airway management,RESUSCITATION
2.1.2.2.6,2,1,EMS2026-2-1-2-2-6-03|EMS2026-2-1-2-2-6-01,12|207,Supraglottic/extraglottic airways,RESUSCITATION
2.1.2.2.7,1,0,EMS2026-2-1-2-2-7-04,299,Nasal intubation,RESUSCITATION
2.1.2.2.8,1,0,EMS2026-2-1-2-2-8-01,44,Cricothyroidotomy,Resuscitation
2.1.2.3,1,0,EMS2026-2-1-2-3-04,292,"Airway management in challenging conditions (e.g., low light, atypical position)",RESUSCITATION
